date,source,server,low,q1,md,q3,high
2025-10-23,op-hk8a,onion,460,600,660,750,970
2025-10-23,op-hk8a-conflux,onion,460,580,670,800,1110
2025-10-23,op-us8a,onion,230,310,360,410,560
2025-10-23,op-us8a-conflux,onion,230,310,350,410,560
2025-10-24,op-de8a,onion,70,120,150,190,290
2025-10-24,op-de8a-conflux,onion,50,130,170,270,480
2025-10-24,op-hk8a,onion,450,550,620,700,920
2025-10-24,op-hk8a-conflux,onion,460,570,640,740,990
2025-10-24,op-us8a,onion,230,310,350,432,610
2025-10-24,op-us8a-conflux,onion,230,320,350,400,520
2025-10-25,op-de8a,onion,40,130,160,230,380
2025-10-25,op-de8a-conflux,onion,80,160,200,290,480
2025-10-25,op-hk8a,onion,450,580,640,740,980
2025-10-25,op-hk8a-conflux,onion,460,600,710,810,1110
2025-10-25,op-us8a,onion,240,320,370,430,590
2025-10-25,op-us8a-conflux,onion,230,310,350,410,560
